iter	Passed	Remaining
0	0	71
1	1	62
2	1	58
3	2	54
4	2	53
5	3	51
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	46
12	6	45
13	7	44
14	7	43
15	8	43
16	8	42
17	9	41
18	9	41
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	18
65	33	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	39	13
74	39	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
