iter	Passed	Remaining
0	131	131627
1	132	66076
2	133	44211
3	133	33263
4	134	26704
5	134	22322
6	135	19190
7	135	16835
8	136	15002
9	136	13535
10	137	12335
11	137	11335
12	138	10489
13	138	9766
14	139	9137
15	139	8586
16	140	8100
17	140	7668
18	141	7283
19	141	6937
20	142	6622
21	142	6337
22	143	6076
23	143	5836
24	144	5616
25	144	5413
26	144	5224
27	145	5050
28	145	4888
29	146	4735
30	146	4593
31	147	4459
32	147	4333
33	148	4214
34	148	4103
35	149	3997
36	149	3897
37	150	3803
38	150	3714
39	151	3628
40	151	3547
41	152	3471
42	152	3397
43	153	3326
44	153	3259
45	154	3195
46	154	3133
47	155	3074
48	155	3019
49	156	2967
50	156	2915
51	157	2864
52	157	2816
53	158	2769
54	158	2724
55	159	2681
56	159	2639
57	159	2598
58	160	2559
59	160	2520
60	161	2484
61	161	2448
62	162	2414
63	162	2381
64	163	2350
65	163	2320
66	164	2291
67	165	2261
68	165	2232
69	165	2204
70	166	2177
71	166	2150
72	167	2125
73	167	2100
74	168	2075
75	168	2051
76	169	2028
77	169	2007
78	170	1987
79	170	1965
80	171	1944
81	171	1924
82	172	1902
83	172	1882
84	173	1863
85	173	1844
86	174	1826
87	174	1808
88	174	1791
89	175	1774
90	175	1757
91	176	1740
92	176	1724
93	177	1709
94	177	1693
95	178	1678
96	178	1663
97	179	1649
98	179	1635
99	180	1621
100	180	1608
101	181	1594
102	181	1581
103	182	1568
104	182	1556
105	183	1543
106	183	1533
107	184	1523
108	185	1513
109	185	1502
110	186	1491
111	186	1480
112	187	1469
113	187	1459
114	188	1448
115	188	1438
116	189	1427
117	189	1416
118	190	1407
119	190	1397
120	191	1387
121	191	1377
122	191	1368
123	192	1358
124	192	1349
125	193	1340
126	193	1331
127	194	1322
128	194	1314
129	195	1305
130	195	1297
131	196	1289
132	196	1280
133	196	1272
134	197	1265
135	197	1257
136	198	1250
137	199	1244
138	199	1237
139	200	1231
140	201	1225
141	201	1217
142	202	1210
143	202	1204
144	203	1198
145	203	1191
146	204	1185
147	204	1178
148	205	1172
149	205	1165
150	206	1159
151	206	1153
152	207	1146
153	207	1140
154	208	1134
155	208	1129
156	209	1123
157	209	1117
158	210	1111
159	210	1105
160	210	1098
161	211	1093
162	211	1087
163	212	1082
164	212	1077
165	213	1072
166	213	1066
167	214	1061
168	214	1056
169	215	1052
170	216	1048
171	216	1043
172	217	1038
173	217	1034
174	218	1029
175	218	1025
176	219	1020
177	219	1015
178	220	1011
179	220	1006
180	221	1001
181	221	997
182	222	992
183	222	988
184	223	983
185	223	979
186	224	974
187	224	970
188	225	966
189	225	962
190	226	957
191	226	954
192	227	950
193	227	946
194	228	942
195	228	938
196	229	934
197	229	931
198	230	927
199	231	924
200	231	920
201	232	916
202	232	913
203	233	909
204	233	906
205	234	902
206	234	899
207	235	895
208	235	892
209	236	888
210	236	884
211	237	881
212	237	877
213	238	874
214	238	871
215	239	867
216	239	864
217	239	860
218	240	857
219	240	854
220	241	850
221	241	847
222	242	844
223	242	841
224	243	837
225	243	834
226	244	831
227	244	829
228	245	826
229	245	823
230	246	820
231	246	817
232	247	814
233	247	811
234	248	808
235	248	805
236	249	802
237	249	799
238	250	796
239	250	793
240	251	790
241	251	788
242	252	785
243	252	782
244	253	779
245	253	776
246	253	774
247	254	771
248	254	768
249	255	766
250	255	763
251	256	761
252	256	758
253	257	755
254	257	753
255	258	750
256	258	748
257	259	745
258	259	743
259	260	741
260	260	738
261	261	736
262	261	734
263	262	731
264	262	729
265	263	726
266	263	724
267	264	721
268	264	719
269	265	717
270	265	714
271	266	712
272	266	710
273	267	707
274	267	705
275	268	703
276	268	700
277	268	698
278	269	696
279	270	694
280	270	692
281	270	689
282	271	687
283	271	685
